StartRegion,DestRegion,Drive
Slcity,Bbcountry,0.0
Sncity,Bbcountry,0.0
Stcity,Bbcountry,0.0
Thcity,Bbcountry,0.0
Bbcountry,Becountry,0.0
Becountry,Becountry,0.0
Bwcountry,Becountry,0.0
Bycountry,Becountry,0.0
Hbcountry,Becountry,0.0
Hecountry,Becountry,0.0
Hhcountry,Becountry,0.0
Mvcountry,Becountry,0.0
Nicountry,Becountry,0.0
Nwcountry,Becountry,0.0
Rpcountry,Becountry,0.0
Shcountry,Becountry,0.0
Slcountry,Becountry,0.0
Sncountry,Becountry,0.0
Stcountry,Becountry,0.0
Thcountry,Becountry,0.0
Bbcity,Becountry,0.0
Becity,Becountry,0.0
Bwcity,Becountry,0.0
Bycity,Becountry,0.0
Hbcity,Becountry,0.0
Hecity,Becountry,0.0
Hhcity,Becountry,0.0
Mvcity,Becountry,0.0
Nicity,Becountry,0.0
Nwcity,Becountry,0.0
Rpcity,Becountry,0.0
Shcity,Becountry,0.0
Slcity,Becountry,0.0
Sncity,Becountry,0.0
Stcity,Becountry,0.0
Thcity,Becountry,0.0
Bbcountry,Bwcountry,0.0
Becountry,Bwcountry,0.0
Bwcountry,Bwcountry,0.0
Bycountry,Bwcountry,0.0
Hbcountry,Bwcountry,0.0
Hecountry,Bwcountry,0.0
Hhcountry,Bwcountry,0.0
Mvcountry,Bwcountry,0.0
Nicountry,Bwcountry,0.0
Nwcountry,Bwcountry,0.0
Rpcountry,Bwcountry,0.0
Shcountry,Bwcountry,0.0
Slcountry,Bwcountry,0.0
Sncountry,Bwcountry,0.0
Stcountry,Bwcountry,0.0
Thcountry,Bwcountry,0.0
Bbcity,Bwcountry,0.0
Becity,Bwcountry,0.0
Bwcity,Bwcountry,0.0
Bycity,Bwcountry,0.0
Hbcity,Bwcountry,0.0
Hecity,Bwcountry,0.0
Hhcity,Bwcountry,0.0
Mvcity,Bwcountry,0.0
Nicity,Bwcountry,0.0
Nwcity,Bwcountry,0.0
Rpcity,Bwcountry,0.0
Shcity,Bwcountry,0.0
Slcity,Bwcountry,0.0
Sncity,Bwcountry,0.0
Stcity,Bwcountry,0.0
Thcity,Bwcountry,0.0
Bbcountry,Bycountry,0.0
Becountry,Bycountry,0.0
Bwcountry,Bycountry,0.0
Bycountry,Bycountry,0.0
Hbcountry,Bycountry,0.0
Hecountry,Bycountry,0.0
Hhcountry,Bycountry,0.0
Mvcountry,Bycountry,0.0
Nicountry,Bycountry,0.0
Nwcountry,Bycountry,0.0
Rpcountry,Bycountry,0.0
Shcountry,Bycountry,0.0
Slcountry,Bycountry,0.0
Sncountry,Bycountry,0.0
Stcountry,Bycountry,0.0
Thcountry,Bycountry,0.0
Bbcity,Bycountry,0.0
Becity,Bycountry,0.0
Bwcity,Bycountry,0.0
Bycity,Bycountry,0.0
Hbcity,Bycountry,0.0
Hecity,Bycountry,0.0
Hhcity,Bycountry,0.0
Mvcity,Bycountry,0.0
Nicity,Bycountry,0.0
Nwcity,Bycountry,0.0
Rpcity,Bycountry,0.0
Shcity,Bycountry,0.0
Slcity,Bycountry,0.0
Sncity,Bycountry,0.0
Stcity,Bycountry,0.0
Thcity,Bycountry,0.0
Bbcountry,Hbcountry,0.0
Becountry,Hbcountry,0.0
Bwcountry,Hbcountry,0.0
Bycountry,Hbcountry,0.0
Hbcountry,Hbcountry,0.0
Hecountry,Hbcountry,0.0
Hhcountry,Hbcountry,0.0
Mvcountry,Hbcountry,0.0
Nicountry,Hbcountry,0.0
Nwcountry,Hbcountry,0.0
Rpcountry,Hbcountry,0.0
Shcountry,Hbcountry,0.0
Slcountry,Hbcountry,0.0
Sncountry,Hbcountry,0.0
Stcountry,Hbcountry,0.0
Thcountry,Hbcountry,0.0
Bbcity,Hbcountry,0.0
Becity,Hbcountry,0.0
Bwcity,Hbcountry,0.0
Bycity,Hbcountry,0.0
Hbcity,Hbcountry,0.0
Hecity,Hbcountry,0.0
Hhcity,Hbcountry,0.0
Mvcity,Hbcountry,0.0
Nicity,Hbcountry,0.0
Nwcity,Hbcountry,0.0
Rpcity,Hbcountry,0.0
Shcity,Hbcountry,0.0
Slcity,Hbcountry,0.0
Sncity,Hbcountry,0.0
Stcity,Hbcountry,0.0
Thcity,Hbcountry,0.0
Bbcountry,Hecountry,0.0
Becountry,Hecountry,0.0
Bwcountry,Hecountry,0.0
Bycountry,Hecountry,0.0
Hbcountry,Hecountry,0.0
Hecountry,Hecountry,0.0
Hhcountry,Hecountry,0.0
Mvcountry,Hecountry,0.0
Nicountry,Hecountry,0.0
Nwcountry,Hecountry,0.0
Rpcountry,Hecountry,0.0
Shcountry,Hecountry,0.0
Slcountry,Hecountry,0.0
Sncountry,Hecountry,0.0
Stcountry,Hecountry,0.0
Thcountry,Hecountry,0.0
Bbcity,Hecountry,0.0
Becity,Hecountry,0.0
Bwcity,Hecountry,0.0
Bycity,Hecountry,0.0
Hbcity,Hecountry,0.0
Hecity,Hecountry,0.0
Hhcity,Hecountry,0.0
Mvcity,Hecountry,0.0
Nicity,Hecountry,0.0
Nwcity,Hecountry,0.0
Rpcity,Hecountry,0.0
Shcity,Hecountry,0.0
Slcity,Hecountry,0.0
Sncity,Hecountry,0.0
Stcity,Hecountry,0.0
Thcity,Hecountry,0.0
Bbcountry,Hhcountry,0.0
Becountry,Hhcountry,0.0
Bwcountry,Hhcountry,0.0
Bycountry,Hhcountry,0.0
Hbcountry,Hhcountry,0.0
Hecountry,Hhcountry,0.0
Hhcountry,Hhcountry,0.0
Mvcountry,Hhcountry,0.0
Nicountry,Hhcountry,0.0
Nwcountry,Hhcountry,0.0
Rpcountry,Hhcountry,0.0
Shcountry,Hhcountry,0.0
Slcountry,Hhcountry,0.0
Sncountry,Hhcountry,0.0
Stcountry,Hhcountry,0.0
Thcountry,Hhcountry,0.0
Bbcity,Hhcountry,0.0
Becity,Hhcountry,0.0
Bwcity,Hhcountry,0.0
Bycity,Hhcountry,0.0
Hbcity,Hhcountry,0.0
Hecity,Hhcountry,0.0
Hhcity,Hhcountry,0.0
Mvcity,Hhcountry,0.0
Nicity,Hhcountry,0.0
Nwcity,Hhcountry,0.0
Rpcity,Hhcountry,0.0
Shcity,Hhcountry,0.0
Slcity,Hhcountry,0.0
Sncity,Hhcountry,0.0
Stcity,Hhcountry,0.0
Thcity,Hhcountry,0.0
Bbcountry,Mvcountry,0.0
Becountry,Mvcountry,0.0
Bwcountry,Mvcountry,0.0
Bycountry,Mvcountry,0.0
Hbcountry,Mvcountry,0.0
Hecountry,Mvcountry,0.0
Hhcountry,Mvcountry,0.0
Mvcountry,Mvcountry,0.0
Nicountry,Mvcountry,0.0
Nwcountry,Mvcountry,0.0
Rpcountry,Mvcountry,0.0
Shcountry,Mvcountry,0.0
Slcountry,Mvcountry,0.0
Sncountry,Mvcountry,0.0
Stcountry,Mvcountry,0.0
Thcountry,Mvcountry,0.0
Bbcity,Mvcountry,0.0
Becity,Mvcountry,0.0
Bwcity,Mvcountry,0.0
