country,Plant,hour,value
Hhcountry,Onshore,13,0.0332
Mvcountry,Onshore,13,0.0668
Slcountry,Onshore,13,0.0469
Stcountry,Onshore,13,0.0277
Shcountry,Onshore,13,0.2848
Thcountry,Onshore,13,0.0494
Bwcountry,Onshore,13,0.0415
Bycountry,Onshore,13,0.0410428571428571
Hecountry,Onshore,13,0.0980666666666667
Nicountry,Onshore,13,0.084875
Nwcountry,Onshore,13,0.03234
Rpcountry,Onshore,13,0.0484333333333333
Sncountry,Onshore,13,0.0125333333333333
Becountry,Onshore,14,0.0205
Bbcountry,Onshore,14,0.0304
Hbcountry,Onshore,14,0.0551
Hhcountry,Onshore,14,0.025
Mvcountry,Onshore,14,0.0672
Slcountry,Onshore,14,0.016
Stcountry,Onshore,14,0.038
Shcountry,Onshore,14,0.2711
Thcountry,Onshore,14,0.0349
Bwcountry,Onshore,14,0.014775
Bycountry,Onshore,14,0.0269428571428571
Hecountry,Onshore,14,0.0645
Nicountry,Onshore,14,0.07775
Nwcountry,Onshore,14,0.02646
Rpcountry,Onshore,14,0.0253333333333333
Sncountry,Onshore,14,0.0135
Becountry,Onshore,15,0.0379
Bbcountry,Onshore,15,0.0592
Hbcountry,Onshore,15,0.083
Hhcountry,Onshore,15,0.0383
Mvcountry,Onshore,15,0.0903
Slcountry,Onshore,15,0.0036
Stcountry,Onshore,15,0.0804
Shcountry,Onshore,15,0.257
Thcountry,Onshore,15,0.0551
Bwcountry,Onshore,15,0.00795
Bycountry,Onshore,15,0.0322428571428571
Hecountry,Onshore,15,0.0683333333333333
Nicountry,Onshore,15,0.1071
Nwcountry,Onshore,15,0.0389
Rpcountry,Onshore,15,0.0141333333333333
Sncountry,Onshore,15,0.0354333333333333
Becountry,Onshore,16,0.071
Bbcountry,Onshore,16,0.1101
Hbcountry,Onshore,16,0.1684
Hhcountry,Onshore,16,0.0901
Mvcountry,Onshore,16,0.1273
Slcountry,Onshore,16,0.0178
Stcountry,Onshore,16,0.14
Shcountry,Onshore,16,0.2323
Thcountry,Onshore,16,0.1052
Bwcountry,Onshore,16,0.036575
Bycountry,Onshore,16,0.0516714285714286
Hecountry,Onshore,16,0.0899666666666667
Nicountry,Onshore,16,0.16425
Nwcountry,Onshore,16,0.06666
Rpcountry,Onshore,16,0.0151666666666667
Sncountry,Onshore,16,0.0889333333333333
Becountry,Onshore,17,0.1154
Bbcountry,Onshore,17,0.1654
Hbcountry,Onshore,17,0.2598
Hhcountry,Onshore,17,0.1699
Mvcountry,Onshore,17,0.1654
Slcountry,Onshore,17,0.0817
Stcountry,Onshore,17,0.1884
Shcountry,Onshore,17,0.2372
Thcountry,Onshore,17,0.1471
Bwcountry,Onshore,17,0.086875
Bycountry,Onshore,17,0.0800714285714286
Hecountry,Onshore,17,0.0965333333333333
Nicountry,Onshore,17,0.21505
Nwcountry,Onshore,17,0.09884
Rpcountry,Onshore,17,0.0403
Sncountry,Onshore,17,0.146
Becountry,Onshore,18,0.1428
Bbcountry,Onshore,18,0.1967
Hbcountry,Onshore,18,0.2827
Hhcountry,Onshore,18,0.2202
Mvcountry,Onshore,18,0.1908
Slcountry,Onshore,18,0.1752
Stcountry,Onshore,18,0.2087
Shcountry,Onshore,18,0.2638
Thcountry,Onshore,18,0.1663
Bwcountry,Onshore,18,0.139475
Bycountry,Onshore,18,0.118642857142857
Hecountry,Onshore,18,0.100533333333333
Nicountry,Onshore,18,0.22965
Nwcountry,Onshore,18,0.1378
Rpcountry,Onshore,18,0.097
Sncountry,Onshore,18,0.1812
Becountry,Onshore,19,0.1411
Bbcountry,Onshore,19,0.197
Hbcountry,Onshore,19,0.2712
Hhcountry,Onshore,19,0.2185
Mvcountry,Onshore,19,0.1942
Slcountry,Onshore,19,0.2609
Stcountry,Onshore,19,0.2017
Shcountry,Onshore,19,0.2878
Thcountry,Onshore,19,0.1681
